nombre,evasion,categoria,cantidad,complejo,duracion,orientacion,estacion,fecha
Ch2_20181118182809-15.mkv,SI,CASO_1,1,YES,20.0,BACK,NIEVES,2018-11-18 18:28:09
Ch2_20181118184607-00.mkv,SI,CASO_1,3,NO,21.0,BACK,NIEVES,2018-11-18 18:46:07
Ch2_20181118184607-01.mkv,SI,CASO_1,3,NO,21.0,BACK,NIEVES,2018-11-18 18:46:07
Ch2_20181118184607-02.mkv,SI,CASO_1,5,NO,21.0,BACK,NIEVES,2018-11-18 18:46:07
Ch2_20181118184607-03.mkv,SI,CASO_1,1,NO,21.0,BACK,NIEVES,2018-11-18 18:46:07
Ch2_20181118184607-04.mkv,SI,CASO_1,2,NO,21.0,BACK,NIEVES,2018-11-18 18:46:07
Ch2_20181118184607-05.mkv,SI,CASO_1,2,NO,20.0,BACK,NIEVES,2018-11-18 18:46:07
Ch2_20181118184607-06.mkv,SI,CASO_1,4,YES,20.0,BACK,NIEVES,2018-11-18 18:46:07
Ch2_20181118184607-07.mkv,SI,CASO_1,1,NO,21.0,BACK,NIEVES,2018-11-18 18:46:07
Ch2_20181118184607-08.mkv,SI,CASO_1,1,YES,21.0,BACK,NIEVES,2018-11-18 18:46:07
Ch2_20181118184607-09.mkv,SI,CASO_1,1,YES,20.0,BACK,NIEVES,2018-11-18 18:46:07
Ch2_20181118184607-10.mkv,SI,CASO_1,1,YES,21.0,BACK,NIEVES,2018-11-18 18:46:07
Ch2_20181118184607-11.mkv,SI,CASO_1,1,YES,20.0,BACK,NIEVES,2018-11-18 18:46:07
Ch2_20181118190406-00.mkv,SI,CASO_1,3,YES,20.0,BACK,NIEVES,2018-11-18 19:04:06
Ch2_20181118190406-01.mkv,SI,CASO_1,1,NO,20.0,BACK,NIEVES,2018-11-18 19:04:06
Ch2_20181119063353-00.mkv,SI,CASO_3,1,YES,20.0,BACK,NIEVES,2018-11-19 06:33:53
Ch2_20181119063353-01.mkv,SI,CASO_1,1,NO,21.0,BACK,NIEVES,2018-11-19 06:33:53
Ch2_20181119074615-00.mkv,NO,CASO_2,0,NO,21.0,BACK,NIEVES,2018-11-19 07:46:15
Ch2_20181119114129-00.mkv,SI,CASO_1,1,NO,21.0,BACK,NIEVES,2018-11-19 11:41:29
Ch2_20181119114129-01.mkv,SI,CASO_1,4,NO,20.0,BACK,NIEVES,2018-11-19 11:41:29
Ch2_20181119114129-02.mkv,SI,CASO_1,1,NO,20.0,BACK,NIEVES,2018-11-19 11:41:29
Ch2_20181119114129-03.mkv,SI,CASO_1,1,YES,20.0,BACK,NIEVES,2018-11-19 11:41:29
Ch2_20181119115934-00.mkv,SI,CASO_1,1,YES,21.0,BACK,NIEVES,2018-11-19 11:59:34
Ch2_20181119121742-00.mkv,SI,CASO_3,1,YES,20.0,BACK,NIEVES,2018-11-19 12:17:42
Ch2_20181119121742-01.mkv,SI,CASO_1,1,NO,21.0,BACK,NIEVES,2018-11-19 12:17:42
Ch2_20181119121742-02.mkv,SI,CASO_1,1,NO,20.0,BACK,NIEVES,2018-11-19 12:17:42
Ch2_20181119123547-00.mkv,SI,CASO_1,1,NO,20.0,BACK,NIEVES,2018-11-19 12:35:47
Ch2_20181119123547-01.mkv,SI,CASO_1,2,YES,20.0,BACK,NIEVES,2018-11-19 12:35:47
Ch2_20181119123547-02.mkv,SI,CASO_1,2,NO,20.0,BACK,NIEVES,2018-11-19 12:35:47
Ch2_20181119123547-03.mkv,SI,CASO_1,2,NO,21.0,BACK,NIEVES,2018-11-19 12:35:47
Ch2_20181119123547-04.mkv,SI,CASO_1,2,NO,21.0,BACK,NIEVES,2018-11-19 12:35:47
Ch2_20181119123547-05.mkv,SI,CASO_1,1,NO,21.0,BACK,NIEVES,2018-11-19 12:35:47
Ch2_20181119125355-00.mkv,SI,CASO_1,3,YES,21.0,BACK,NIEVES,2018-11-19 12:53:55
Ch2_20181119125355-01.mkv,SI,CASO_1,3,NO,20.0,BACK,NIEVES,2018-11-19 12:53:55
Ch2_20181119125355-02.mkv,SI,CASO_1,4,NO,21.0,BACK,NIEVES,2018-11-19 12:53:55
Ch2_20181119125355-03.mkv,SI,CASO_1,4,NO,21.0,BACK,NIEVES,2018-11-19 12:53:55
Ch2_20181119125355-04.mkv,SI,CASO_1,6,NO,21.0,BACK,NIEVES,2018-11-19 12:53:55
Ch2_20181119125355-05.mkv,SI,CASO_1,1,NO,20.0,BACK,NIEVES,2018-11-19 12:53:55
Ch2_20181119161256-00.mkv,SI,CASO_1,3,NO,20.0,BACK,NIEVES,2018-11-19 16:12:56
Ch2_20181119161256-01.mkv,SI,CASO_1,1,YES,20.0,BACK,NIEVES,2018-11-19 16:12:56
Ch2_20181119161256-02.mkv,SI,CASO_1,5,NO,20.0,BACK,NIEVES,2018-11-19 16:12:56
Ch2_20181119161256-03.mkv,NO,CASO_1,0,NO,20.0,BACK,NIEVES,2018-11-19 16:12:56
Ch2_20181119163101-00.mkv,NO,CASO_1,0,NO,20.0,BACK,NIEVES,2018-11-19 16:31:01
Ch1_20181019060551-00.mkv,SI,CASO_1,1,NO,20.0,BACK,POLICARPA,2018-10-19 06:05:51
Ch1_20181019060551-01.mkv,SI,CASO_1,1,NO,20.0,BACK,POLICARPA,2018-10-19 06:05:51
Ch1_20181019064204-00.mkv,SI,CASO_3,1,YES,21.0,BACK,POLICARPA,2018-10-19 06:42:04
Ch1_20181019070010-00.mkv,SI,CASO_1,2,NO,21.0,BACK,POLICARPA,2018-10-19 07:00:10
Ch1_20181019071815-00.mkv,NO,CASO_4,0,YES,20.0,BACK,POLICARPA,2018-10-19 07:18:15
Ch1_20181019071815-01.mkv,SI,CASO_1,1,NO,20.0,BACK,POLICARPA,2018-10-19 07:18:15
Ch1_20181019075426-00.mkv,SI,CASO_1,1,NO,20.0,BACK,POLICARPA,2018-10-19 07:54:26
Ch1_20181019081232-00.mkv,SI,CASO_1,1,NO,20.0,BACK,POLICARPA,2018-10-19 08:12:32
Ch1_20181019105530-00.mkv,SI,CASO_2,1,NO,20.0,BACK,POLICARPA,2018-10-19 10:55:30
Ch1_20181019105530-01.mkv,NO,CASO_3,0,NO,20.0,BACK,POLICARPA,2018-10-19 10:55:30
Ch1_20181019105530-02.mkv,NO,CASO_2,0,NO,21.0,BACK,POLICARPA,2018-10-19 10:55:30
Ch1_20181019111335-00.mkv,SI,CASO_1,2,NO,20.0,BACK,POLICARPA,2018-10-19 11:13:35
Ch1_20181019111335-01.mkv,SI,CASO_1,2,NO,21.0,BACK,POLICARPA,2018-10-19 11:13:35
Ch1_20181019111335-02.mkv,SI,CASO_1,3,NO,21.0,BACK,POLICARPA,2018-10-19 11:13:35
Ch1_20181019111335-03.mkv,SI,CASO_1,1,NO,21.0,BACK,POLICARPA,2018-10-19 11:13:35
Ch1_20181019114946-00.mkv,SI,CASO_1,3,NO,20.0,BACK,POLICARPA,2018-10-19 11:49:46
Ch1_20181019114946-01.mkv,SI,CASO_2,1,NO,21.0,BACK,POLICARPA,2018-10-19 11:49:46
Ch1_20181019120752-00.mkv,SI,CASO_3,1,NO,21.0,BACK,POLICARPA,2018-10-19 12:07:52
Ch1_20181019122557-00.mkv,SI,CASO_1,1,NO,21.0,BACK,POLICARPA,2018-10-19 12:25:57
Ch1_20181019124403-00.mkv,SI,CASO_3,2,NO,20.0,BACK,POLICARPA,2018-10-19 12:44:03
Ch1_20181019124403-01.mkv,SI,CASO_1,1,NO,20.0,BACK,POLICARPA,2018-10-19 12:44:03
Ch1_20181019124403-02.mkv,SI,CASO_1,2,NO,21.0,BACK,POLICARPA,2018-10-19 12:44:03
Ch1_20181019124403-03.mkv,SI,CASO_1,3,NO,20.0,BACK,POLICARPA,2018-10-19 12:44:03
Ch1_20181019132014-00.mkv,SI,CASO_1,2,NO,20.0,BACK,POLICARPA,2018-10-19 13:20:14
Ch1_20181019160306-00.mkv,SI,CASO_3,2,NO,20.0,BACK,POLICARPA,2018-10-19 16:03:06
Ch1_20181019160306-01.mkv,SI,CASO_1,1,NO,21.0,BACK,POLICARPA,2018-10-19 16:03:06
Ch1_20181019160306-02.mkv,SI,CASO_1,1,NO,20.0,BACK,POLICARPA,2018-10-19 16:03:06
Ch1_20181019162111-00.mkv,SI,CASO_1,1,NO,21.0,BACK,POLICARPA,2018-10-19 16:21:11
Ch1_20181019165722-00.mkv,SI,CASO_3,1,NO,21.0,BACK,POLICARPA,2018-10-19 16:57:22
Ch1_20181019173335-00.mkv,SI,CASO_3,3,NO,20.0,BACK,POLICARPA,2018-10-19 17:33:35
Ch1_20181019173335-01.mkv,SI,CASO_1,1,NO,21.0,BACK,POLICARPA,2018-10-19 17:33:35
Ch1_20181019180935-00.mkv,SI,CASO_1,1,NO,21.0,BACK,POLICARPA,2018-10-19 18:09:35
Ch1_20181020112301-00.mkv,SI,CASO_1,1,NO,21.0,BACK,POLICARPA,2018-10-20 11:23:01
Ch1_20181022063425-00.mkv,SI,CASO_1,1,NO,20.0,BACK,POLICARPA,2018-10-22 06:34:25
Ch1_20181022063425-01.mkv,SI,CASO_1,2,NO,21.0,BACK,POLICARPA,2018-10-22 06:34:25
Ch1_20181022063425-02.mkv,SI,CASO_1,1,NO,20.0,BACK,POLICARPA,2018-10-22 06:34:25
Ch1_20181022071036-00.mkv,SI,CASO_1,2,NO,21.0,BACK,POLICARPA,2018-10-22 07:10:36
Ch1_20181022071036-01.mkv,SI,CASO_1,1,NO,21.0,BACK,POLICARPA,2018-10-22 07:10:36
Ch1_20181022071036-02.mkv,SI,CASO_1,2,NO,21.0,BACK,POLICARPA,2018-10-22 07:10:36
Ch1_20181022074649-00.mkv,SI,CASO_3,1,YES,20.0,BACK,POLICARPA,2018-10-22 07:46:49
Ch1_20181022104748-00.mkv,SI,CASO_1,1,NO,21.0,BACK,POLICARPA,2018-10-22 10:47:48
Ch1_20181022110554-00.mkv,SI,CASO_1,2,NO,20.0,BACK,POLICARPA,2018-10-22 11:05:54
Ch1_20181022125429-00.mkv,SI,CASO_1,1,NO,21.0,BACK,POLICARPA,2018-10-22 12:54:29
Ch1_20181022131234-00.mkv,SI,CASO_1,1,NO,20.0,BACK,POLICARPA,2018-10-22 13:12:34
Ch1_20181022134845-00.mkv,SI,CASO_1,2,NO,20.0,BACK,POLICARPA,2018-10-22 13:48:45
Ch1_20181022140651-00.mkv,NO,CASO_2,0,NO,21.0,BACK,POLICARPA,2018-10-22 14:06:51
Ch1_20181022174357-00.mkv,SI,CASO_1,2,NO,21.0,BACK,POLICARPA,2018-10-22 17:43:57
Ch1_20181022174357-01.mkv,SI,CASO_1,1,NO,20.0,BACK,POLICARPA,2018-10-22 17:43:57
Ch1_20181022174357-02.mkv,SI,CASO_2,1,YES,20.0,BACK,POLICARPA,2018-10-22 17:43:57
Ch1_20181022183758-00.mkv,SI,CASO_2,4,NO,20.0,BACK,POLICARPA,2018-10-22 18:37:58
Ch1_20181022183758-01.mkv,SI,CASO_2,2,NO,21.0,BACK,POLICARPA,2018-10-22 18:37:58
Ch1_20181022183758-02.mkv,SI,CASO_1,1,NO,20.0,BACK,POLICARPA,2018-10-22 18:37:58
Ch1_20181022193159-00.mkv,SI,CASO_1,1,NO,20.0,BACK,POLICARPA,2018-10-22 19:31:59
Ch1_20181022200756-00.mkv,SI,CASO_1,1,NO,20.0,BACK,POLICARPA,2018-10-22 20:07:56
Ch1_20181022200756-01.mkv,SI,CASO_1,1,NO,21.0,BACK,POLICARPA,2018-10-22 20:07:56
Ch1_20181022200756-02.mkv,SI,CASO_1,1,NO,20.0,BACK,POLICARPA,2018-10-22 20:07:56
Ch1_20181022200756-03.mkv,SI,CASO_1,1,NO,21.0,BACK,POLICARPA,2018-10-22 20:07:56
Ch1_20181022200756-04.mkv,NO,CASO_1,0,NO,21.0,BACK,POLICARPA,2018-10-22 20:07:56
Ch1_20181022202555-00.mkv,SI,CASO_1,1,NO,21.0,BACK,POLICARPA,2018-10-22 20:25:55
Ch1_20181022202555-01.mkv,SI,CASO_1,1,NO,20.0,BACK,POLICARPA,2018-10-22 20:25:55
Ch1_20181022204354-00.mkv,SI,CASO_1,1,NO,20.0,BACK,POLICARPA,2018-10-22 20:43:54
Ch1_20181022210153-00.mkv,SI,CASO_1,1,NO,20.0,BACK,POLICARPA,2018-10-22 21:01:53
Ch1_20181023045533-00.mkv,SI,CASO_1,1,NO,20.0,BACK,POLICARPA,2018-10-23 04:55:33
Ch1_20181023051334-00.mkv,SI,CASO_3,1,NO,20.0,BACK,POLICARPA,2018-10-23 05:13:34
Ch1_20181023060735-00.mkv,SI,CASO_1,1,NO,20.0,BACK,POLICARPA,2018-10-23 06:07:35
Ch1_20181023062541-00.mkv,SI,CASO_1,1,NO,21.0,BACK,POLICARPA,2018-10-23 06:25:41
Ch1_20181023062541-01.mkv,SI,CASO_1,1,NO,20.0,BACK,POLICARPA,2018-10-23 06:25:41
Ch1_20181023064348-00.mkv,SI,CASO_1,1,YES,21.0,BACK,POLICARPA,2018-10-23 06:43:48
Ch1_20181023064348-01.mkv,SI,CASO_2,1,NO,20.0,BACK,POLICARPA,2018-10-23 06:43:48
Ch1_20181023064348-02.mkv,SI,CASO_1,1,NO,20.0,BACK,POLICARPA,2018-10-23 06:43:48
Ch1_20181023070154-00.mkv,SI,CASO_1,1,NO,20.0,BACK,POLICARPA,2018-10-23 07:01:54
Ch1_20181023070154-01.mkv,SI,CASO_1,3,NO,20.0,BACK,POLICARPA,2018-10-23 07:01:54
Ch1_20181023070154-02.mkv,NO,CASO_4,0,NO,20.0,BACK,POLICARPA,2018-10-23 07:01:54
Ch1_20181023070154-03.mkv,SI,CASO_3,1,NO,21.0,BACK,POLICARPA,2018-10-23 07:01:54
Ch1_20181023071959-00.mkv,SI,CASO_1,1,NO,21.0,BACK,POLICARPA,2018-10-23 07:19:59
Ch1_20181023071959-01.mkv,SI,CASO_1,1,NO,21.0,BACK,POLICARPA,2018-10-23 07:19:59
Ch1_20181023071959-02.mkv,SI,CASO_1,2,NO,21.0,BACK,POLICARPA,2018-10-23 07:19:59
Ch1_20181023071959-03.mkv,SI,CASO_1,1,NO,20.0,BACK,POLICARPA,2018-10-23 07:19:59
Ch1_20181023073805-00.mkv,SI,CASO_1,3,NO,20.0,BACK,POLICARPA,2018-10-23 07:38:05
Ch1_20181023073805-01.mkv,SI,CASO_1,1,NO,20.0,BACK,POLICARPA,2018-10-23 07:38:05
Ch1_20181023073805-02.mkv,SI,CASO_1,4,NO,20.0,BACK,POLICARPA,2018-10-23 07:38:05
Ch1_20181023075610-00.mkv,SI,CASO_1,1,NO,20.0,BACK,POLICARPA,2018-10-23 07:56:10
Ch1_20181023083221-00.mkv,SI,CASO_1,1,NO,20.0,BACK,POLICARPA,2018-10-23 08:32:21
Ch1_20181023085027-00.mkv,SI,CASO_3,1,YES,20.0,BACK,POLICARPA,2018-10-23 08:50:27
Ch1_20181023094445-00.mkv,SI,CASO_3,1,NO,20.0,BACK,POLICARPA,2018-10-23 09:44:45
Ch1_20181023100251-00.mkv,SI,CASO_1,1,NO,21.0,BACK,POLICARPA,2018-10-23 10:02:51
Ch1_20181023103902-00.mkv,SI,CASO_1,4,NO,21.0,BACK,POLICARPA,2018-10-23 10:39:02
Ch1_20181023111513-00.mkv,SI,CASO_1,1,NO,21.0,BACK,POLICARPA,2018-10-23 11:15:13
Ch1_20181023113319-00.mkv,SI,CASO_1,2,NO,21.0,BACK,POLICARPA,2018-10-23 11:33:19
Ch1_20181023115124-00.mkv,SI,CASO_1,1,NO,21.0,BACK,POLICARPA,2018-10-23 11:51:24
Ch1_20181023120930-00.mkv,SI,CASO_1,2,NO,20.0,BACK,POLICARPA,2018-10-23 12:09:30
Ch1_20181023120930-01.mkv,SI,CASO_1,1,NO,20.0,BACK,POLICARPA,2018-10-23 12:09:30
Ch1_20181023120930-02.mkv,SI,CASO_3,1,YES,21.0,BACK,POLICARPA,2018-10-23 12:09:30
Ch1_20181023122735-00.mkv,SI,CASO_1,1,NO,21.0,BACK,POLICARPA,2018-10-23 12:27:35
Ch1_20181023122735-01.mkv,SI,CASO_1,1,NO,21.0,BACK,POLICARPA,2018-10-23 12:27:35
Ch1_20181023130346-00.mkv,SI,CASO_3,1,NO,20.0,BACK,POLICARPA,2018-10-23 13:03:46
Ch1_20181023130346-01.mkv,SI,CASO_3,1,NO,20.0,BACK,POLICARPA,2018-10-23 13:03:46
Ch1_20181023130346-02.mkv,SI,CASO_1,3,NO,21.0,BACK,POLICARPA,2018-10-23 13:03:46
Ch1_20181023141610-00.mkv,SI,CASO_3,1,YES,20.0,BACK,POLICARPA,2018-10-23 14:16:10
Ch1_20181023141610-01.mkv,SI,CASO_1,1,NO,21.0,BACK,POLICARPA,2018-10-23 14:16:10
Ch1_20181023143416-00.mkv,SI,CASO_1,1,NO,20.0,BACK,POLICARPA,2018-10-23 14:34:16
Ch1_20181023143416-01.mkv,SI,CASO_1,1,NO,20.0,BACK,POLICARPA,2018-10-23 14:34:16
Ch1_20181023145223-00.mkv,SI,CASO_1,3,NO,21.0,BACK,POLICARPA,2018-10-23 14:52:23
Ch1_20181023154640-00.mkv,SI,CASO_3,1,YES,20.0,BACK,POLICARPA,2018-10-23 15:46:40
Ch1_20181023154640-01.mkv,SI,CASO_1,1,NO,21.0,BACK,POLICARPA,2018-10-23 15:46:40
Ch1_20181023154640-02.mkv,SI,CASO_1,1,NO,21.0,BACK,POLICARPA,2018-10-23 15:46:40
Ch1_20181023160446-00.mkv,SI,CASO_3,1,NO,21.0,BACK,POLICARPA,2018-10-23 16:04:46
Ch1_20181023160446-01.mkv,SI,CASO_1,2,NO,21.0,BACK,POLICARPA,2018-10-23 16:04:46
Ch1_20181023160446-02.mkv,SI,CASO_1,1,NO,20.0,BACK,POLICARPA,2018-10-23 16:04:46
Ch1_20181023162251-00.mkv,SI,CASO_1,1,NO,20.0,BACK,POLICARPA,2018-10-23 16:22:51
Ch1_20181023165904-00.mkv,SI,CASO_1,1,NO,21.0,BACK,POLICARPA,2018-10-23 16:59:04
Ch1_20181023171710-00.mkv,NO,CASO_2,0,NO,21.0,BACK,POLICARPA,2018-10-23 17:17:10
Ch1_20181023175312-00.mkv,SI,CASO_3,1,YES,20.0,BACK,POLICARPA,2018-10-23 17:53:12
Ch1_20181023175312-01.mkv,SI,CASO_1,2,NO,20.0,BACK,POLICARPA,2018-10-23 17:53:12
Ch1_20181023175312-02.mkv,SI,CASO_1,2,NO,21.0,BACK,POLICARPA,2018-10-23 17:53:12
Ch1_20181023181111-00.mkv,SI,CASO_1,1,NO,21.0,BACK,POLICARPA,2018-10-23 18:11:11
Ch1_20181023181111-01.mkv,SI,CASO_1,1,NO,21.0,BACK,POLICARPA,2018-10-23 18:11:11
Ch1_20181023182910-00.mkv,SI,CASO_1,1,NO,21.0,BACK,POLICARPA,2018-10-23 18:29:10
Ch1_20181023182910-01.mkv,SI,CASO_2,1,NO,20.0,BACK,POLICARPA,2018-10-23 18:29:10
Ch1_20181023184709-00.mkv,SI,CASO_1,1,NO,21.0,BACK,POLICARPA,2018-10-23 18:47:09
Ch1_20181023184709-01.mkv,SI,CASO_1,1,NO,20.0,BACK,POLICARPA,2018-10-23 18:47:09
Ch1_20181023190508-00.mkv,SI,CASO_2,3,YES,21.0,BACK,POLICARPA,2018-10-23 19:05:08
Ch1_20181023190508-01.mkv,SI,CASO_1,1,NO,20.0,BACK,POLICARPA,2018-10-23 19:05:08
Ch1_20181023194106-00.mkv,SI,CASO_1,1,NO,21.0,BACK,POLICARPA,2018-10-23 19:41:06
Ch1_20181023194106-01.mkv,NO,CASO_3,0,NO,20.0,BACK,POLICARPA,2018-10-23 19:41:06
Ch1_20181023201707-00.mkv,SI,CASO_1,1,NO,21.0,BACK,POLICARPA,2018-10-23 20:17:07
Ch1_20181023201707-01.mkv,SI,CASO_1,1,NO,20.0,BACK,POLICARPA,2018-10-23 20:17:07
Ch1_20181023203506-00.mkv,NO,CASO_2,0,NO,21.0,BACK,POLICARPA,2018-10-23 20:35:06
Ch1_20181023203506-01.mkv,SI,CASO_1,1,NO,21.0,BACK,POLICARPA,2018-10-23 20:35:06
Ch1_20181023205307-00.mkv,SI,CASO_1,1,NO,20.0,BACK,POLICARPA,2018-10-23 20:53:07
Ch1_20181024044652-00.mkv,SI,CASO_1,1,NO,21.0,BACK,POLICARPA,2018-10-24 04:46:52
Ch1_20181024044652-01.mkv,SI,CASO_1,1,NO,20.0,BACK,POLICARPA,2018-10-24 04:46:52
Ch1_20181024050451-00.mkv,SI,CASO_1,2,NO,21.0,BACK,POLICARPA,2018-10-24 05:04:51
Ch1_20181024054051-00.mkv,SI,CASO_1,1,NO,20.0,BACK,POLICARPA,2018-10-24 05:40:51
Ch1_20181024054051-01.mkv,SI,CASO_1,1,NO,20.0,BACK,POLICARPA,2018-10-24 05:40:51
Ch1_20181024055859-00.mkv,SI,CASO_1,1,NO,20.0,BACK,POLICARPA,2018-10-24 05:58:59
Ch1_20181024061707-00.mkv,SI,CASO_1,1,NO,21.0,BACK,POLICARPA,2018-10-24 06:17:07
Ch1_20181024061707-01.mkv,SI,CASO_1,1,NO,21.0,BACK,POLICARPA,2018-10-24 06:17:07
Ch1_20181024063514-00.mkv,SI,CASO_3,6,YES,20.0,BACK,POLICARPA,2018-10-24 06:35:14
Ch1_20181024063514-01.mkv,SI,CASO_1,3,NO,20.0,BACK,POLICARPA,2018-10-24 06:35:14
Ch1_20181024063514-02.mkv,SI,CASO_1,1,NO,20.0,BACK,POLICARPA,2018-10-24 06:35:14
Ch1_20181024065320-00.mkv,SI,CASO_1,7,NO,21.0,BACK,POLICARPA,2018-10-24 06:53:20
Ch1_20181024071125-00.mkv,SI,CASO_1,1,NO,21.0,BACK,POLICARPA,2018-10-24 07:11:25
Ch1_20181024071125-01.mkv,SI,CASO_1,2,NO,20.0,BACK,POLICARPA,2018-10-24 07:11:25
Ch1_20181024071125-02.mkv,SI,CASO_1,3,NO,21.0,BACK,POLICARPA,2018-10-24 07:11:25
Ch1_20181024080542-00.mkv,SI,CASO_1,1,NO,20.0,BACK,POLICARPA,2018-10-24 08:05:42
Ch1_20181024084153-00.mkv,SI,CASO_1,1,NO,21.0,BACK,POLICARPA,2018-10-24 08:41:53
Ch1_20181024085958-00.mkv,SI,CASO_3,1,NO,21.0,BACK,POLICARPA,2018-10-24 08:59:58
Ch1_20181024085958-01.mkv,SI,CASO_1,1,NO,20.0,BACK,POLICARPA,2018-10-24 08:59:58
Ch1_20181024091804-00.mkv,SI,CASO_3,1,YES,21.0,BACK,POLICARPA,2018-10-24 09:18:04
Ch1_20181024101222-00.mkv,SI,CASO_1,2,NO,21.0,BACK,POLICARPA,2018-10-24 10:12:22
Ch1_20181024103028-00.mkv,SI,CASO_1,1,NO,20.0,BACK,POLICARPA,2018-10-24 10:30:28
Ch1_20181024114252-00.mkv,SI,CASO_1,1,NO,21.0,BACK,POLICARPA,2018-10-24 11:42:52
Ch1_20181024120058-00.mkv,SI,CASO_1,1,YES,21.0,BACK,POLICARPA,2018-10-24 12:00:58
Ch1_20181024121903-00.mkv,SI,CASO_1,1,NO,21.0,BACK,POLICARPA,2018-10-24 12:19:03
Ch1_20181024123711-00.mkv,SI,CASO_1,1,NO,21.0,BACK,POLICARPA,2018-10-24 12:37:11
Ch1_20181024125516-00.mkv,SI,CASO_1,1,NO,21.0,BACK,POLICARPA,2018-10-24 12:55:16
Ch1_20181024131322-00.mkv,SI,CASO_1,1,NO,21.0,BACK,POLICARPA,2018-10-24 13:13:22
Ch1_20181024140738-00.mkv,SI,CASO_1,1,NO,20.0,BACK,POLICARPA,2018-10-24 14:07:38
Ch1_20181024140738-01.mkv,SI,CASO_1,2,NO,21.0,BACK,POLICARPA,2018-10-24 14:07:38
Ch1_20181024140738-02.mkv,SI,CASO_1,1,NO,20.0,BACK,POLICARPA,2018-10-24 14:07:38
Ch1_20181024140738-03.mkv,SI,CASO_1,2,NO,20.0,BACK,POLICARPA,2018-10-24 14:07:38
Ch1_20181024140738-04.mkv,SI,CASO_3,1,YES,20.0,BACK,POLICARPA,2018-10-24 14:07:38
Ch1_20181024142544-00.mkv,SI,CASO_1,2,NO,21.0,BACK,POLICARPA,2018-10-24 14:25:44
Ch1_20181024152000-00.mkv,SI,CASO_1,1,NO,21.0,BACK,POLICARPA,2018-10-24 15:20:00
Ch1_20181024152000-01.mkv,SI,CASO_1,1,NO,20.0,BACK,POLICARPA,2018-10-24 15:20:00
Ch1_20181024153806-00.mkv,SI,CASO_1,1,NO,20.0,BACK,POLICARPA,2018-10-24 15:38:06
Ch1_20181024155612-00.mkv,SI,CASO_1,7,NO,21.0,BACK,POLICARPA,2018-10-24 15:56:12
Ch1_20181024161417-00.mkv,SI,CASO_1,1,NO,20.0,BACK,POLICARPA,2018-10-24 16:14:17
Ch1_20181024161417-01.mkv,SI,CASO_2,2,NO,20.0,BACK,POLICARPA,2018-10-24 16:14:17
Ch1_20181024163223-00.mkv,SI,CASO_3,1,YES,20.0,BACK,POLICARPA,2018-10-24 16:32:23
Ch1_20181024163223-01.mkv,SI,CASO_1,2,NO,20.0,BACK,POLICARPA,2018-10-24 16:32:23
